,Rating,Comment
0,4,🤩🤩🤩 I am very very happy😊😊
1,4,"👏👏 Delivery service is good 👍
This phone is a killer in this price range.
-------------------------------------------------------------
BUT
⚠️The phone is full of bloatware/unwanted apps which keep installing automatically when connected to internet, during device setup.
⚠️The storage (rom) uses emmc tech., which is slower compared to UFS storage.
Overall a killer ⭐⭐⭐"
2,5,👌👌good control
3,4,👌👌👌Very good product I am very happy 👌👌👌 😊😊😊😊😊😊
4,5,💫✨Let it be✨
5,4,Góod product
6,5,My wife not satisfied
7,5,Nyc camera
8,5,Nyc
9,5,Gyro is not available I was really upsad for this mobile phone and also flipkart systems
10,4,Nyc
11,5,"My problem is not solved please return the item it has problem. picture blue is not working instead pinck is coming .colors red and green ok .,this is the reason for replacement.if not return I will go to the next step"
12,5,nyc
13,4,My wife used in phone ok
14,5,My wife loves ❤ it.
15,5,"Nyc, but mobile is weight."
16,4,Nyc phn
17,4,Nyc
18,5,Nyc
19,4,Nyc
20,4,Nyc
21,4,Nyc
22,5,Nyc products
23,4,Nyc
24,5,Nyc
25,5,Nyc
26,4,Nyc
27,5,Nyc
28,4,Nyc
29,5,Nyc
30,5,Nyc
31,4,Nyci Set Very Good Working
32,5,Nyc phone
33,4,Nyc
34,5,Nyc
35,4,Nyc
36,3,Nyc
37,5,Nyc
38,5,Ty
39,5,Nyc phone
40,5,Nyc
41,4,Nyc
42,5,Nyc
43,3,Nyc
44,5,Ty
45,5,Nyc
46,5,My mobile touch is not working properly please take it serious
47,5,Nyc products
48,5,Nyce
49,3,Nyc at the reasonable price
50,5,Nyc phn...
51,5,"My phone keypad is giving me issues in just two months, it is hanging and slow in keypad speed.

I want to exchange it, although the phone is on lower price but the speed is very slow. Unhappy with the camera quality"
52,5,My father is so happy 😊
53,5,nyc
54,5,Nyc....
55,4,Nyc
56,3,Nyc
57,4,My mobile dishply problem
58,5,Nyc battery backup
59,5,Nyc product valu for money
60,5,Nyc
61,5,Nyc
62,4,Nyc
63,4,Excellent phone with Great battery backup ànd camera 📷 quality 👌🏻❤️
64,4,Excellent product
65,4,Excellent
66,5,Excellent Samsung phone thanks flipkart pay later emi
67,3,Excellent
68,5,Excellent performance
69,5,Excellent battery decent Camera performance only 1 issue not charging notification indicator light
70,4,Excellent performance
71,5,Excellent
72,4,Excellent
73,5,"Excellent product..
Value for money"
74,4,Excellent
75,5,Excellent
76,5,Excellent Smartphone
77,4,Extraordinary
78,5,Excellent Product
79,5,Excellent 👍 samsung I always buy Samsung products.
80,4,Excellent phone I love ❤ 😍 it
81,5,Excellent phone
82,5,Excellent mobile
83,4,Excellent
84,5,Excellent
85,4,Excellent phone
86,5,excellent
87,3,Excellent
88,5,Except battery nothing is good
89,5,Excellent
90,4,Excellent
91,5,Excellent mobile9i
92,4,Excellent product
93,5,Excellent
94,5,Excellent product indeed you will realize value for money...
95,4,Excellent product 👌
96,4,Excellent product
97,5,Excellent
98,5,Excellent
99,3,Excellent product by brand and excellent delevery by Flipkart
100,5,Excellent item I really love it. value of money
101,5,Excellent product
102,5,Excellent thanks
103,3,Excellent phone and good performance
104,3,Experience is very 👎 bad
105,5,Excellent
106,5,Excellent mobile. And Low price
107,5,Excellent mobile for this range
108,5,exellent
109,3,Excellent
110,4,"Except it is heavy to hold , rest all is good"
111,5,Excellent product great battery life Camera also very good that's price and long lasting phone
112,5,Excellent phone
113,4,Excellent mobile
114,5,Excellent phone. Very reasonably priced. Great buy.
115,5,Excellent
116,5,Excellence
117,5,Excellent
118,5,Excellent
119,5,Excellent
120,5,Excellent
121,4,Excellent
122,5,Exlent mobile
123,5,Excellent
124,5,Excellent mobile...worth it..!!
125,5,Excellent phone .
126,4,Excellent mobile phone for this price
127,5,Extra weight
128,4,Excellent
129,5,Excellent phone for the price
130,5,Excellent
131,4,Excellent
132,5,Excellent phone and nice look
133,5,Excellent
134,4,Excellent
135,5,Excellent phone
136,5,Excellent product
137,4,Excellent value for money .A very good phone in this price range for SAMSUNG the great
138,5,Excellent product
139,5,Excellent
140,5,Excellent phone in this budget👍👍
141,5,Excellent product
142,4,Excellent phone 📱
143,4,Excellent phone 📱
144,5,Excellent mobile on this budget
145,5,Excellent smartphone and excellent service
146,3,Excellent 👌☺️
